rowuniqueId,datasetId,datasetDate,datasetClassId,ldbTradKey,settlementSystem,settlementStatus,frontOfficeTradeId,tradingBookCode,settlementbookCode,isMatured,productType,bookhierarchyId,sapAccountId,principalBranchSDSID,principalBranchName,principal_bplc_group_legalentity,principal_bblc_group_legalentity,principal_bplc_dolsub_legalentity,principal_bblc_dolsub_legalentity,counterpartySDSID,counterpartyType,counterpartyID,transactionslCurrency,name,mail,ssn,creditCardNumber,country,collateralValue,CashAmount,marketValue,DerivedName,DerivedMail,DerivedCountry,DerivedCountryCode,is_pii,is_gdpr,is_geoRestricted
07009d6c-4501-4f42-a3a9-40f536d26c9f,3a860b3b-a1d,20060721,UnsecuredFunding_ACBS,NULL,ACBS,Settled,80913-9,Investment BANK hub,25035,False,NULL,84418,147870,663366,BPLC,N,Y,N,N,50161,internal,489736,INR,restricted,person0@example.com,132-41-3731,1143-7438-3155,Isle of Man,545380.3996983139,996944.2757349736,267648.1475707452,restricted,person0@example.com,Isle of Man,IMN,False,False,False
66c9ec0c-64e8-41cc-a115-01ad98832351,97a1db3e-249,20060602,UnsecuredFunding_ACBS,NULL,ACBS,Settled,81832-2,Cash/Rish Hub BUK,5812,True,FUSD,23721,785148,62376,BUK,N,Y,Y,Y,165403,external,81321,CHF,Edward Moore,restricted,restricted,2816-2092-9240,China,318529.9429483694,372065.90052575356,827709.0989717455,Edward Moore,restricted,China,CN,False,False,True
ff3e67e7-3a03-47b9-a02c-08bc43391bf6,f84c5496-081,20241108,UnsecuredFunding_ACBS,NULL,ACBS,Settled,20267-5,Investment BANK hub,14570,True,VanillaCap,14689,497626,259665,BUK,Y,Y,N,N,470651,external,245285,NZD,restricted,person2@example.com,restricted,1160-7869-8899,Japan,154904.26524681458,974908.928762454,309858.8173657528,restricted,person2@example.com,Japan,JP,False,False,False
955edb45-2b74-4f3b-8ede-3aec6ca6bd7a,795880dd-61e,20191113,UnsecuredFunding_ACBS,NULL,ACBS,Not yet Settled,65601-4,Investment BANK hub,34943,False,NULL,68112,384479,340345,BBLC,N,N,N,Y,433264,external,229172,CNY,Diana Adam,restricted,534-38-8041,9649-5295-2664,Portugal,981547.181799306,599984.3611877775,665561.5858499662,Diana Adam,restricted,Portugal,PT,False,True,False
b0030704-232f-4fa0-9dea-cfc7d0aac4bb,6e3f2114-8de,20090915,UnsecuredFunding_ACBS,NULL,ACBS,Not yet Settled,8056-3,Cash/Rish Hub BUK,76892,True,restricted,46084,73228,39932,BPLC,N,Y,Y,Y,670763,internal,690141,MXN,restricted,restricted,304-98-5101,4274-4455-2295,United States,701811.3147746627,41945.188426409666,16041.961167406302,restricted,restricted,United States,US,False,False,False
cf162439-6185-4b7b-b177-435fdc6253e0,1332a460-428,20090125,UnsecuredFunding_ACBS,NULL,ACBS,Not yet Settled,65553-5,Cash/Rish Hub BUK,22061,False,FUTR,67613,159999,580533,BUK,N,N,Y,N,926046,external,543134,SGD,Charlie Adam,restricted,restricted,6319-3571-5183,Germany,543562.9739303713,820126.7331053477,781007.7129811978,Charlie Adam,restricted,Germany,DE,False,True,True
3d616434-e3e5-49c7-82d7-b80ef3a7c3af,f03f76aa-4f6,20150112,UnsecuredFunding_ACBS,NULL,ACBS,Not yet Settled,34487-1,Investment BANK hub,65222,False,VanillaCap,3920,456452,625030,BBLC,Y,N,N,Y,67095,internal,772096,NOK,restricted,person6@example.com,restricted,9617-5036-8316,Portugal,423623.6307343352,706078.2208494571,310359.76908084605,restricted,person6@example.com,Portugal,PT,False,True,False
bccc6b42-5c24-4479-b725-4f96f39eb76f,b678c2e5-8e0,20090510,UnsecuredFunding_ACBS,NULL,ACBS,Not yet Settled,19502-7,Cash/Rish Hub BUK,46026,False,VanillaCap,76293,744326,427156,BBLC,N,N,Y,Y,471020,external,285407,USD,restricted,person7@example.com,537-95-5981,6402-5044-5692,Portugal,630026.6782497859,902627.8167815033,662690.6259293642,restricted,person7@example.com,Portugal,PT,False,True,False
0f8bf621-2e3b-4320-a1eb-d397ea035f0e,965b4ced-0d1,20201231,UnsecuredFunding_ACBS,NULL,ACBS,Settled,72232-4,OperTreas,1729,False,VanillaCap,82780,508410,989545,BBLC,N,N,N,N,609221,internal,840186,CNY,restricted,restricted,320-13-1889,5195-6351-1689,Luxembourg,283874.2549843935,191835.070534996,242186.00994693546,restricted,restricted,Luxembourg,LU,False,True,False
bc873d1c-1805-4ebe-9eb8-a8f593d3111d,26467bd4-037,20101229,UnsecuredFunding_ACBS,NULL,ACBS,Not yet Settled,16913-7,Cash/Rish Hub BUK,36375,False,VanillaCap,33193,392402,664700,BUK,N,Y,Y,Y,190501,internal,729344,CHF,Diana Johnson,restricted,677-52-2398,5430-8956-8822,Italy,274388.0317740235,312144.3297700233,843326.89015506,Diana Johnson,restricted,Italy,IT,False,True,False
38fc0962-9e21-4475-85e7-06050d1a1d89,8e525631-da3,20150223,UnsecuredFunding_ACBS,NULL,ACBS,Settled,25822-0,Investment BANK hub,64883,False,VanillaCap,15043,550501,992678,BPLC,N,Y,N,N,812061,internal,457453,HKD,Jane Wilson,restricted,254-21-4084,9792-7171-1336,Spain,322103.4322662512,20009.359593788617,715676.6159825153,Jane Wilson,restricted,Spain,ES,False,True,False
